INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,CUB,29-Apr-2021,0,XX,0,0,0,168.6,166.5,0,0,0,0,26-FEB-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,168.55,168.55,168.1,168.1,169.85,2,10.43,6200,6200,01-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,171.7,180.5,171.7,175.9,176.65,15,82.1,34100,27900,02-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,177.5,185.45,177.45,183.6,183.6,54,303.88,99200,65100,03-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,181.15,191.4,180.1,182.65,182.65,85,489.92,120900,21700,04-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,179.9,184.05,173.95,174.1,174.1,82,453.32,210800,89900,05-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,176.2,180.35,175.15,177.35,177.35,17,93.66,238700,27900,08-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,177.4,180.05,169.95,173.7,173.7,107,581.59,192200,-46500,09-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,174.05,175,169.8,173.95,173.95,31,165.71,220100,27900,10-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,174.95,177.85,172.5,173.05,173.05,24,130.22,251100,31000,12-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,170.4,173.95,169.7,173.3,173.3,25,132.67,266600,15500,15-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,171.6,172,171,171.7,171.7,13,69.16,282100,15500,16-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,171.25,172.8,169.35,169.8,169.8,44,233.7,291400,9300,17-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,172.55,174.1,160.9,168.3,168.3,113,589.28,372000,80600,18-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,167.45,173.6,165.2,171.2,171.2,139,734.38,523900,151900,19-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,169.6,172.25,169.25,171.1,171.1,550,2904.75,1503500,979600,22-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,172.1,173.45,169.5,170.25,170.25,647,3438.28,2374600,871100,23-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,169.05,170.5,164,164.9,164.9,1233,6376.95,4708900,2334300,24-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,165.15,165.65,156.9,162.05,162.05,1413,7082.86,6984300,2275400,25-MAR-2021,
FUTSTK,CUB,27-May-2021,0,XX,166,166,161.25,161.65,161.65,11,55.6,96100,6200,26-MAR-2021,
FUTSTK,CUB,27-May-2021,0,XX,161.65,163,153.90,156.50,156.50,44,215.87,139500,43400,30-Mar-2021
FUTSTK,CUB,27-May-2021,0,XX,159,160.6,156,157.45,157.45,36,176.66,151900,12400,31-MAR-2021,
FUTSTK,CUB,27-May-2021,0,XX,158,162.55,158,162.35,162.35,13,64.67,158100,6200,01-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,159.95,159.95,156.9,157.95,157.95,22,107.69,155000,-3100,05-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,157.65,159.35,156.6,156.6,156.6,14,68.68,161200,6200,06-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,159.2,168,159.2,166.65,166.65,41,209.94,176700,15500,07-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,169.4,169.85,166.5,167.4,167.4,28,146.17,170500,-6200,08-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,166.6,169.5,165.65,167.75,167.75,24,124.6,176700,6200,09-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,161.95,164.65,158.15,160.25,160.25,38,189.04,176700,0,12-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,164.55,165.3,163.5,163.95,163.95,16,81.46,186000,9300,13-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,163.6,166.65,160.95,163.1,163.1,60,304.71,195300,9300,15-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,162.75,165.1,162.2,162.4,162.4,85,432.74,319300,124000,16-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,158.75,160.75,158,158.95,158.95,44,217.58,359600,40300,19-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,160.7,161.4,158.9,159.05,159.05,46,228.15,421600,62000,20-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,156.85,160.6,156.85,160.25,160.25,53,261.82,461900,40300,22-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,159.65,169.2,159.65,166.2,166.2,255,1311.11,672700,210800,23-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,166.85,168.1,164.3,165.55,165.55,442,2274.23,1388800,716100,26-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,166.25,166.95,164.1,165.35,165.35,397,2033.76,2046000,657200,27-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,164.2,171.4,164.2,169.65,169.65,1496,7865.11,4352400,2306400,28-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,171.4,172.8,168.8,169.1,169.1,784,4140.64,4829800,477400,29-APR-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,169.65,169.65,167.95,167.95,167.95,8,41.86,62000,12400,30-APR-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,165.6,171,165.6,171,171,6,31.19,71300,9300,03-MAY-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,173,173,167,167,167.85,11,57.6,65100,-6200,04-MAY-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,168.5,172.5,168.5,171.55,171.55,7,37.09,74400,9300,05-MAY-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,173.5,174.9,172.6,173,171.65,12,64.59,86800,12400,06-MAY-2021,
